url,image,prep_time,difficulty
https://themeatmen.sg/penang-assam-laksa/,https://themeatmen.sg/wp-content/uploads/2022/06/DSC01059-scaled.jpg,['1.5 - 2 hours'],medium
https://themeatmen.sg/homemade-vietnamese-beef-pho/,https://themeatmen.sg/wp-content/uploads/2022/06/DSC08812-S-1.jpg,['5 hours'],easy
https://themeatmen.sg/focaccia-bread-with-homemade-hummus-dip/,https://themeatmen.sg/wp-content/uploads/2022/05/DSC09690-S.jpg,['15 minutes'],easy
https://themeatmen.sg/vietnamese-thit-kho/,https://themeatmen.sg/wp-content/uploads/2022/05/DSC06665.jpg,['1 hour'],easy
https://themeatmen.sg/taiwan-beef-noodle-soup/,https://themeatmen.sg/wp-content/uploads/2022/05/DSC08761-1.jpg,['2 h 30 min'],medium
https://themeatmen.sg/crab-tang-hoon/,https://themeatmen.sg/wp-content/uploads/2022/05/IMG_3382_small-scaled.jpg,['1h15min'],medium
https://themeatmen.sg/yam-cake-recipe/,https://themeatmen.sg/wp-content/uploads/2022/05/DSC01709-1.jpg,['1 hour'],easy
https://themeatmen.sg/stir-fried-ginger-and-scallion-fish/,https://themeatmen.sg/wp-content/uploads/2022/04/DSC09860_thumb-1.jpg,['30 mins'],easy
https://themeatmen.sg/nasi-kuning-with-ayam-goreng/,https://themeatmen.sg/wp-content/uploads/2022/04/DSC07992-L-scaled.jpg,['2 hours'],easy
https://themeatmen.sg/air-fried-pork-and-shrimp-dumplings/,https://themeatmen.sg/wp-content/uploads/2022/04/DSC06635.jpg,['30 mins'],easy
https://themeatmen.sg/dry-wet-stir-fried-hor-fun/,https://themeatmen.sg/wp-content/uploads/2022/04/thumb1.jpg,['30 mins'],easy
https://themeatmen.sg/chinese-tomato-eggs-rice/,https://themeatmen.sg/wp-content/uploads/2022/04/THUMB.jpg,['15 mins'],super easy
https://themeatmen.sg/singapore-economic-fried-beehoon/,https://themeatmen.sg/wp-content/uploads/2022/03/DSC06569.jpg,['30 mins'],super easy
https://themeatmen.sg/stir-fried-ginger-and-scallion-beef/,https://themeatmen.sg/wp-content/uploads/2022/03/DSC00052-L.jpg,['30 mins'],easy
https://themeatmen.sg/rice-cooker-tomato-rice/,https://themeatmen.sg/wp-content/uploads/2022/03/DSC06531_L.jpeg,['30mins'],easy
https://themeatmen.sg/rice-cooker-scallops-rice/,https://themeatmen.sg/wp-content/uploads/2022/03/DSC06494_S-1-2048x1154-1.jpg,['30 mins'],easy
https://themeatmen.sg/chinese-home-style-egg-tofu/,https://themeatmen.sg/wp-content/uploads/2022/03/DSC06085_S-2048x1152-1.jpg,['30 mins'],easy
https://themeatmen.sg/air-fryer-pork-char-siew/,https://themeatmen.sg/wp-content/uploads/2022/02/Thumbnail-2-scaled-1.jpg,['50 min'],easy
https://themeatmen.sg/kolo-mee/,https://themeatmen.sg/wp-content/uploads/2022/02/DSC04607_L-1.jpeg,['15 minutes'],easy
https://themeatmen.sg/hakka-zhar-yoke/,https://themeatmen.sg/wp-content/uploads/2022/02/DSC02313-1.jpg,['30 mins'],easy
https://themeatmen.sg/coffee-pulled-pork-hash-by-sats/,https://themeatmen.sg/wp-content/uploads/2022/01/Copy-of-IG-Post-Photo-2.jpeg,['45 min'],easy
https://themeatmen.sg/country-style-coffee-pork-ribs-by-sats/,https://themeatmen.sg/wp-content/uploads/2022/01/SATS_OTY_cut01.00_04_49_03.Still016.jpg,['45 min'],medium
https://themeatmen.sg/coffee-sauce-by-kek-seafood/,https://themeatmen.sg/wp-content/uploads/2022/01/SATS_OTY_cut01.00_02_55_09.Still014.jpg,['30 min'],easy
https://themeatmen.sg/pan-fried-red-grouper-with-soy-sauce/,https://themeatmen.sg/wp-content/uploads/2022/01/DSC09988-THUMB.jpg,['30 min'],easy
https://themeatmen.sg/chilli-crab-tofu/,https://themeatmen.sg/wp-content/uploads/2022/01/DSC05647-S-e1642989135167.jpg,['15 min'],easy
https://themeatmen.sg/smoked-duck-fried-rice/,https://themeatmen.sg/wp-content/uploads/2022/01/thumbnail-L_3.jpeg,['15 min'],easy
https://themeatmen.sg/braised-abalone-with-broccoli-and-prawns/,https://themeatmen.sg/wp-content/uploads/2022/01/DSC04922-e1642233288165.jpeg,['1 hr 30 mins'],easy
https://themeatmen.sg/sweet-sour-pork-with-lychee/,https://themeatmen.sg/wp-content/uploads/2022/01/DSC04981-e1642232871171.jpeg,['1 hr'],easy
https://themeatmen.sg/fish-maw-soup/,https://themeatmen.sg/wp-content/uploads/2022/01/DSC04953-e1642229938428.jpeg,['1 hour'],easy
https://themeatmen.sg/one-pot-yam-rice/,https://themeatmen.sg/wp-content/uploads/2022/01/DSC09825_s-e1641881349520.jpg,['45 min'],easy
